Verb; trennbar; 
absehen; ja;
ansehen; ja;
aufsehen; ja;
ausersehen; ja;
aussehen; ja; 
besehen; nein; 
dreinsehen; ja; 
durchsehen; ja; 
einsehen; ja; 
emporsehen; ja; 
entgegensehen; ja; 
ersehen; nein; 
fernsehen; ja; 
festsehen; ja; 
fortsehen; ja; 
gegenübersehen; ja; 
gleichsehen; ja; 
herabsehen; ja; 
heraufsehen; ja; 
heraussehen; ja; 
hereinsehen; ja; 
hersehen; ja; 
herübersehen; ja; 
heruntersehen; ja; 
hervorsehen; ja; 
hinaufsehen; ja; 
hinaussehen; ja; 
hindurchsehen; ja; 
hineinsehen; ja; 
hinsehen; ja; 
hinübersehen; ja; 
hinuntersehen; ja; 
hinwegsehen; ja; 
hochsehen; ja; 
nachsehen; ja; 
niedersehen; ja; 
reinsehen; ja; 
rotsehen; ja; 
schwarzsehen; ja; 
sehen; nein; 
übersehen; ja; 
übersehen; nein; 
umsehen; ja; 
versehen; nein; 
voraussehen; ja; 
vorbeisehen; ja; 
vorhersehen; ja; 
wegsehen; ja; 
weitersehen; ja ; 
wiedersehen; ja; 
zurücksehen; ja; 
zusehen; ja
